Item,ORIGEN PROVEEDOR,PROVEEDOR CCIAL,Estado,COMPRAS
432757,0001 - NACIONAL,0067 - GOLD,Bloqueado,0002 - NO
432898,0001 - NACIONAL,0067 - GOLD,Bloqueado,0002 - NO
432922,0001 - NACIONAL,0067 - GOLD,Bloqueado,0002 - NO
433078,0001 - NACIONAL,0067 - GOLD,Bloqueado,0002 - NO
2753,0001 - NACIONAL,0087 - INDUMA,Bloqueado,0002 - NO
2773,0001 - NACIONAL,0129 - GERFOR,Bloqueado,0002 - NO
2775,0001 - NACIONAL,0129 - GERFOR,Bloqueado,0002 - NO
4001,0002 - IMPORTADO,0016 - BAHCO,Inactivo,0002 - NO
4017,0002 - IMPORTADO,0016 - BAHCO,Inactivo,0002 - NO
4019,0002 - IMPORTADO,0016 - BAHCO,Inactivo,0002 - NO
4023,0002 - IMPORTADO,0016 - BAHCO,Inactivo,0002 - NO
2616,0001 - NACIONAL,0029 - CENTELSA,Bloqueado,0002 - NO
2633,0001 - NACIONAL,0069 - GRICOL,Bloqueado,0002 - NO
4164,0001 - NACIONAL,0165 - VERA,Bloqueado,0002 - NO
7550,0001 - NACIONAL,0165 - VERA,Inactivo,0002 - NO
4255,0002 - IMPORTADO,0066 - GILMOUR,Inactivo,0002 - NO
4258,0002 - IMPORTADO,0066 - GILMOUR,Inactivo,0002 - NO
4346,0002 - IMPORTADO,0016 - BAHCO,Inactivo,0002 - NO
2567,0002 - IMPORTADO,0016 - BAHCO,Bloqueado,0002 - NO
230508,0001 - NACIONAL,0165 - VERA,Bloqueado,0002 - NO
230565,0001 - NACIONAL,0165 - VERA,Bloqueado,0002 - NO
231068,0001 - NACIONAL,0165 - VERA,Inactivo,0002 - NO
231720,0001 - NACIONAL,0165 - VERA,Inactivo,0002 - NO
232041,0001 - NACIONAL,0165 - VERA,Bloqueado,0002 - NO
232504,0001 - NACIONAL,0165 - VERA,Bloqueado,0002 - NO
232561,0001 - NACIONAL,0165 - VERA,Bloqueado,0002 - NO
232934,0001 - NACIONAL,0165 - VERA,Bloqueado,0002 - NO
233163,0001 - NACIONAL,0165 - VERA,Inactivo,0002 - NO
233262,0001 - NACIONAL,0165 - VERA,Bloqueado,0002 - NO
233379,0001 - NACIONAL,0165 - VERA,Bloqueado,0002 - NO
233890,0001 - NACIONAL,0165 - VERA,Bloqueado,0002 - NO
41259,0002 - IMPORTADO,0216 - GBS,Activo,0002 - NO
161125, ,9999 - OTROS,Inactivo,0002 - NO
161307, ,0223 - STANLEY BLACK & DECKER,Bloqueado,0002 - NO
161398, ,9999 - OTROS,Activo,0002 - NO
161455, ,0223 - STANLEY BLACK & DECKER,Activo,0002 - NO
161539, ,9999 - OTROS,Activo,0002 - NO
161687, ,0223 - STANLEY BLACK & DECKER,Activo,0002 - NO
161752, ,9999 - OTROS,Inactivo,0002 - NO
162008, ,0223 - STANLEY BLACK & DECKER,Activo,0002 - NO
162032, ,0223 - STANLEY BLACK & DECKER,Activo,0002 - NO
44699,0002 - IMPORTADO,0221 - SPECTRUM BRANDS,Activo,0002 - NO
39645,0001 - NACIONAL,0215 - STECK,Bloqueado,0002 - NO
34524,0001 - NACIONAL,0071 - GRIVAL,Bloqueado,0002 - NO
18662,0001 - NACIONAL,0188 - PINTURAS IDEA,Bloqueado,0002 - NO
39292,0002 - IMPORTADO,0062 - FORTE,Activo,0002 - NO
2202,0001 - NACIONAL,0029 - CENTELSA,Bloqueado,0002 - NO
4858,0001 - NACIONAL,0103 - MALLAS MEDELLIN,Bloqueado,0002 - NO
400117, ,9999 - OTROS,Inactivo,0002 - NO
400123, ,9999 - OTROS,Inactivo,0002 - NO
400126, ,9999 - OTROS,Inactivo,0002 - NO
16634,0001 - NACIONAL,0185 - URIFER,Bloqueado,0002 - NO
400140, ,9999 - OTROS,Inactivo,0002 - NO
400143, ,9999 - OTROS,Inactivo,0002 - NO
400149, ,9999 - OTROS,Inactivo,0002 - NO
52580, ,0226 - SIN IDENTIFICAR,Bloqueado,0002 - NO
